Flag,ID,HexID,From Table
MAP_FLAG_E0575,59,3B,1
MAP_FLAG_E0610,60,3C,1
MAP_FLAG_E0580,61,3D,1
MAP_FLAG_E0620,62,3E,1
MAP_FLAG_E0625,63,3F,1
MAP_FLAG_E0627,64,40,1
MAP_FLAG_E0590,65,41,1
MAP_FLAG_E0595,66,42,1
MAP_FLAG_E0598,67,43,1
MAP_FLAG_E0630,68,44,1
MAP_FLAG_E0645,69,45,1
MAP_FLAG_E0650,70,46,1
MAP_FLAG_E0660,71,47,1
MAP_FLAG_E0670,72,48,1
MAP_FLAG_E0675,73,49,1
MAP_FLAG_E0680,74,4A,1
MAP_FLAG_E0690,75,4B,1
MAP_FLAG_E0700,76,4C,1
MAP_FLAG_E0715,77,4D,1
MAP_FLAG_E0525,78,4E,1
MAP_FLAG_E0600,79,4F,1
MAP_FLAG_E0602_1,80,50,1
MAP_FLAG_E0602_2,81,51,1
MAP_FLAG_E0602_3,82,52,1
MAP_FLAG_E0602_4,83,53,1
MAP_FLAG_E0602_5,84,54,1
MAP_FLAG_E0602_6,85,55,1
MAP_FLAG_E0602_7,86,56,1
MAP_FLAG_E0602_8,87,57,1
MAP_FLAG_E0602_End,88,58,1
MAP_FLAG_E0603,89,59,1
MAP_FLAG_E0604,90,5A,1
MAP_FLAG_E0730,91,5B,1
MAP_FLAG_E0740,92,5C,1
MAP_FLAG_E0750,93,5D,1
MAP_FLAG_E0760,94,5E,1
MAP_FLAG_E0761,95,5F,1
MAP_FLAG_E0762,96,60,1
MAP_FLAG_E0765,97,61,1
MAP_FLAG_E0775,98,62,1
MAP_FLAG_E0778,99,63,1
MAP_FLAG_E0785,100,64,1
MAP_FLAG_E0790,101,65,1
MAP_FLAG_E0805,102,66,1
MAP_FLAG_E0810,103,67,1
MAP_FLAG_E0820_Start,104,68,1
MAP_FLAG_E0820,105,69,1
MAP_FLAG_E0830,106,6A,1
MAP_FLAG_E0835,107,6B,1
MAP_FLAG_E0860,108,6C,1
MAP_FLAG_E0870,109,6D,1
MAP_FLAG_E0880,110,6E,1
MAP_FLAG_E0891,111,6F,1
MAP_FLAG_E0892,112,70,1
MAP_FLAG_E0893,113,71,1
MAP_FLAG_E0900,114,72,1
MAP_FLAG_E0905,115,73,1
MAP_FLAG_E0910,116,74,1
MAP_FLAG_E0915,117,75,1
MAP_FLAG_E0920,118,76,1
MAP_FLAG_E0925,119,77,1
MAP_FLAG_E0930,120,78,1
MAP_FLAG_E0940,121,79,1
MAP_FLAG_E0950,122,7A,1
MAP_FLAG_E0960,123,7B,1
MAP_FLAG_E0730_Ready,124,7C,1
MAP_FLAG_E0362_Ready,125,7D,1
MAP_FLAG_E0492,126,7E,1
MAP_FLAG_E0763,127,7F,1
MAP_FLAG_E0763_Join,128,80,1
MAP_FLAG_E0763_Talk,129,81,1
MAP_FLAG_E0645_2,130,82,1
MAP_FLAG_E0645_3,131,83,1
MAP_FLAG_E0645_4,132,84,1
MAP_FLAG_E0171,133,85,1
MAP_FLAG_E0172,134,86,1
MAP_FLAG_E0173,135,87,1
MAP_FLAG_E0174,136,88,1
MAP_FLAG_E0170_Finish,137,89,1
MAP_FLAG_E0170,138,8A,1
MAP_FLAG_E0171_First,139,8B,1
MAP_FLAG_E0470_BGM,140,8C,1
MAP_FLAG_E0385_Talk,141,8D,1
MAP_FLAG_E0767,142,8E,1
MAP_FLAG_E0767_Open,143,8F,1
MAP_FLAG_E0371_Open,144,90,1
MAP_FLAG_E1000,145,91,1
MAP_FLAG_E1000EX,146,92,1
MAP_FLAG_E0511,147,93,1
eflag0148_Event170_185,148,94,1
MAP_FLAG_E0825,149,95,1
MAP_FLAG_E0885,150,96,1
MAP_FLAG_E0955,151,97,1
MAP_FLAG_E0957,152,98,1
MAP_FLAG_E0975,153,99,1
MAP_FLAG_E1025,154,9A,1
MAP_FLAG_E0252,155,9B,1
MAP_FLAG_E0253,156,9C,1
MAP_FLAG_E0820_Ready1,157,9D,1
MAP_FLAG_E0820_Ready2,158,9E,1
MAP_FLAG_E0171_Finish,159,9F,1
MAP_FLAG_E0186,160,A0,1
MAP_FLAG_E0191,161,A1,1
MAP_FLAG_E0192,162,A2,1
MAP_FLAG_E0360_0,163,A3,1
MAP_FLAG_E0351,164,A4,1
MAP_FLAG_E0352,165,A5,1
MAP_FLAG_E0378,166,A6,1
MAP_FLAG_E0386,167,A7,1
MAP_FLAG_E0628,168,A8,1
MAP_FLAG_E0631,169,A9,1
MAP_FLAG_E0701,170,AA,1
MAP_FLAG_E0735,171,AB,1
MAP_FLAG_E0736,172,AC,1
MAP_FLAG_E0871,173,AD,1
MAP_FLAG_E0906,174,AE,1
MAP_FLAG_E0900_Ready,175,AF,1
MAP_FLAG_E1001,176,B0,1
MAP_FLAG_E1002,177,B1,1
MAP_FLAG_E0485,178,B2,1
MAP_FLAG_E0890,179,B3,1
MAP_FLAG_E0824,180,B4,1
MAP_FLAG_E0826,181,B5,1
MAP_FLAG_E0619,182,B6,1
MAP_FLAG_E0598_Stop,183,B7,1
MAP_FLAG_E0659,184,B8,1
MAP_FLAG_E0774,185,B9,1
MAP_FLAG_E0784,186,BA,1
MAP_FLAG_E0804,187,BB,1
MAP_FLAG_E0421,188,BC,1
MAP_FLAG_E0433,189,BD,1
MAP_FLAG_E0436,190,BE,1
MAP_FLAG_E0611,191,BF,1
MAP_FLAG_E0361_2,192,C0,1
MAP_FLAG_E0363_2,193,C1,1
MAP_FLAG_E0364_2,194,C2,1
eflag0195_OldRoute,195,C3,1
eflag0196_NewRoute,196,C4,1
MAP_FLAG_E2000,197,C5,1
MAP_FLAG_P_E0170,198,C6,1
MAP_FLAG_P_E0171_First,199,C7,1
MAP_FLAG_P_E0171,200,C8,1
MAP_FLAG_P_E0172,201,C9,1
MAP_FLAG_P_E0173,202,CA,1
MAP_FLAG_P_E0170_Finish,203,CB,1
MAP_FLAG_P_E0171_Finish,204,CC,1
MAP_FLAG_P_E0174,205,CD,1
MAP_FLAG_P_E0185,206,CE,1
MAP_FLAG_P_E0186,207,CF,1
MAP_FLAG_P_E0190,208,D0,1
MAP_FLAG_P_E0191,209,D1,1
MAP_FLAG_P_E0192,210,D2,1
MAP_FLAG_P_E0195,211,D3,1
MAP_FLAG_P_E0215,212,D4,1
MAP_FLAG_P_E0226,213,D5,1
MAP_FLAG_P_E0235,214,D6,1
MAP_FLAG_P_E0242,215,D7,1
MAP_FLAG_P_EM0001,216,D8,1
MAP_FLAG_P_EM0002,217,D9,1
MAP_FLAG_P_EM0003,218,DA,1
MAP_FLAG_P_EM0004,219,DB,1
MAP_FLAG_P_EM0005,220,DC,1
MAP_FLAG_P_EM0010,221,DD,1
MAP_FLAG_P_EM0014,222,DE,1
MAP_FLAG_P_E0031,223,DF,1
MAP_FLAG_P_E0035,224,E0,1
MAP_FLAG_P_EM0018,225,E1,1
MAP_FLAG_P_EM0015,226,E2,1
MAP_FLAG_P_EM0016,227,E3,1
MAP_FLAG_P_EM0013,228,E4,1
MAP_FLAG_P_E0180,229,E5,1
MAP_FLAG_P_E0250,230,E6,1
MAP_FLAG_P_E0251,231,E7,1
MAP_FLAG_P_E0243,232,E8,1
MAP_FLAG_P_EM0012,233,E9,1
MAP_FLAG_P_EM0012_2,234,EA,1
MAP_FLAG_P_EM0181,235,EB,1
MAP_FLAG_P_E0260,236,EC,1
MAP_FLAG_EN0050,237,ED,1
MAP_FLAG_P_EM0182,238,EE,1
MAP_FLAG_P_EM0020,239,EF,1
MAP_FLAG_P_EM0021,240,F0,1
MAP_FLAG_P_EM0025,241,F1,1
MAP_FLAG_P_E0261,242,F2,1
MAP_FLAG_P_E0120,243,F3,1
MAP_FLAG_P_E0262,244,F4,1
MAP_FLAG_P_EM0026,245,F5,1
MAP_FLAG_P_E0300,246,F6,1
MAP_FLAG_P_EM0027,247,F7,1
MAP_FLAG_P_EM0028,248,F8,1
MAP_FLAG_EN0070,249,F9,1
MAP_FLAG_EN0100,250,FA,1
MAP_FLAG_EN0110,251,FB,1
MAP_FLAG_P_EM0022,252,FC,1
MAP_FLAG_P_EM0023,253,FD,1
MAP_FLAG_P_EM0024,254,FE,1
MAP_FLAG_P_EM0022_2,255,FF,1
MAP_FLAG_P_EM0022_3,256,100,1
MAP_FLAG_P_E0330,257,101,1
MAP_FLAG_P_E0341,258,102,1
MAP_FLAG_P_E0345,259,103,1
MAP_FLAG_P_EM0019,260,104,1
MAP_FLAG_P_E0346,261,105,1
MAP_FLAG_P_E0351,262,106,1
MAP_FLAG_P_E0360,263,107,1
MAP_FLAG_P_E0360_1,264,108,1
MAP_FLAG_EN0150,265,109,1
MAP_FLAG_EN0152,266,10A,1
MAP_FLAG_EN0155,267,10B,1
MAP_FLAG_EN0155_2,268,10C,1
MAP_FLAG_EN0155_4,269,10D,1
MAP_FLAG_EN0155_3,270,10E,1
MAP_FLAG_EN0160,271,10F,1
MAP_FLAG_EN0160_2,272,110,1
MAP_FLAG_EN0160_3,273,111,1
MAP_FLAG_EN0161,274,112,1
MAP_FLAG_E2609,275,113,1
MAP_FLAG_E3021,276,114,1
MAP_FLAG_EN0155_EX,277,115,1
MAP_FLAG_EN0160_EX,278,116,1
MAP_FLAG_EM0018_1,279,117,1
MAP_FLAG_P_EM0018_1,280,118,1
MAP_FLAG_P_E0360_2,281,119,1
MAP_FLAG_P_E0360_3,282,11A,1
MAP_FLAG_P_E0360_4,283,11B,1
MAP_FLAG_P_E0360_Finish,284,11C,1
MAP_FLAG_P_E0360_End,285,11D,1
MAP_FLAG_E2130,286,11E,1
MAP_FLAG_E2140,287,11F,1
MAP_FLAG_E2145,288,120,1
MAP_FLAG_E2150,289,121,1
MAP_FLAG_E2160,290,122,1
MAP_FLAG_E2165,291,123,1
MAP_FLAG_E2170,292,124,1
MAP_FLAG_E2180,293,125,1
MAP_FLAG_E2181,294,126,1
MAP_FLAG_E2185,295,127,1
MAP_FLAG_E2190,296,128,1
MAP_FLAG_E2210,297,129,1
MAP_FLAG_E2211,298,12A,1
MAP_FLAG_E2220,299,12B,1
MAP_FLAG_E2221,300,12C,1
MAP_FLAG_E2222,301,12D,1
MAP_FLAG_E2223,302,12E,1
MAP_FLAG_E2224,303,12F,1
MAP_FLAG_E2225,304,130,1
MAP_FLAG_E2226,305,131,1
MAP_FLAG_E2227,306,132,1
MAP_FLAG_E2228,307,133,1
MAP_FLAG_E2229,308,134,1
MAP_FLAG_E2230,309,135,1
MAP_FLAG_E2231,310,136,1
MAP_FLAG_E2232,311,137,1
MAP_FLAG_E2233,312,138,1
MAP_FLAG_E2240,313,139,1
MAP_FLAG_E2250,314,13A,1
MAP_FLAG_E2255,315,13B,1
MAP_FLAG_E2260,316,13C,1
MAP_FLAG_E2251,317,13D,1
MAP_FLAG_E2270,318,13E,1
MAP_FLAG_E2271,319,13F,1
MAP_FLAG_E2280_1,320,140,1
MAP_FLAG_E2280_2,321,141,1
MAP_FLAG_E2280_3,322,142,1
MAP_FLAG_E2280_4,323,143,1
MAP_FLAG_E2280_End,324,144,1
MAP_FLAG_E2281_1,325,145,1
MAP_FLAG_E2281_2,326,146,1
MAP_FLAG_E2281_3,327,147,1
MAP_FLAG_E2281_4,328,148,1
MAP_FLAG_E2281_5,329,149,1
MAP_FLAG_E2281_6,330,14A,1
MAP_FLAG_E2290,331,14B,1
MAP_FLAG_E2295,332,14C,1
MAP_FLAG_E2296,333,14D,1
MAP_FLAG_E2297,334,14E,1
MAP_FLAG_E2298,335,14F,1
MAP_FLAG_E2299,336,150,1
MAP_FLAG_E2300,337,151,1
MAP_FLAG_E2301,338,152,1
MAP_FLAG_E2302,339,153,1
MAP_FLAG_E2305_1,340,154,1
MAP_FLAG_E2305_2,341,155,1
MAP_FLAG_E2305_3,342,156,1
MAP_FLAG_E2305_4,343,157,1
MAP_FLAG_E2305_5,344,158,1
MAP_FLAG_E2305_6,345,159,1
MAP_FLAG_E2305_End,346,15A,1
MAP_FLAG_E2310,347,15B,1
MAP_FLAG_E2311,348,15C,1
MAP_FLAG_E2320,349,15D,1
MAP_FLAG_E2305_EX,350,15E,1
MAP_FLAG_E2305_7,351,15F,1
MAP_FLAG_E2325,352,160,1
MAP_FLAG_E2330,353,161,1
MAP_FLAG_E2400,354,162,1
MAP_FLAG_E2405,355,163,1
MAP_FLAG_E2410,356,164,1
MAP_FLAG_E2420,357,165,1
MAP_FLAG_E2430Tmple,358,166,1
MAP_FLAG_E2500,359,167,1
MAP_FLAG_E2520,360,168,1
MAP_FLAG_E2501,361,169,1
MAP_FLAG_E2562,362,16A,1
MAP_FLAG_E2560,363,16B,1
MAP_FLAG_E2570,364,16C,1
MAP_FLAG_E2600,365,16D,1
MAP_FLAG_E2610,366,16E,1
MAP_FLAG_E2620,367,16F,1
MAP_FLAG_E2625,368,170,1
MAP_FLAG_E2630,369,171,1
MAP_FLAG_E2640,370,172,1
MAP_FLAG_E2650,371,173,1
MAP_FLAG_E2660,372,174,1
MAP_FLAG_E2670,373,175,1
MAP_FLAG_E2680,374,176,1
MAP_FLAG_E2685,375,177,1
MAP_FLAG_E2700,376,178,1
MAP_FLAG_E2710,377,179,1
MAP_FLAG_E2715,378,17A,1
MAP_FLAG_E2720,379,17B,1
MAP_FLAG_E2730,380,17C,1
MAP_FLAG_E2735,381,17D,1
MAP_FLAG_E2750,382,17E,1
MAP_FLAG_E2760,383,17F,1
MAP_FLAG_E2770,384,180,1
MAP_FLAG_E2740,385,181,1
MAP_FLAG_E2642,386,182,1
MAP_FLAG_E2644,387,183,1
MAP_FLAG_E2551,388,184,1
MAP_FLAG_E2608,389,185,1
MAP_FLAG_E2511,390,186,1
MAP_FLAG_E2795,391,187,1
MAP_FLAG_E2900,392,188,1
MAP_FLAG_E2910,393,189,1
MAP_FLAG_E2920,394,18A,1
MAP_FLAG_E2930,395,18B,1
MAP_FLAG_E2950,396,18C,1
MAP_FLAG_E2960,397,18D,1
MAP_FLAG_E2970,398,18E,1
MAP_FLAG_E3000,399,18F,1
MAP_FLAG_E3001,400,190,1
MAP_FLAG_E3002,401,191,1
MAP_FLAG_E3003,402,192,1
MAP_FLAG_E3004,403,193,1
MAP_FLAG_E3010,404,194,1
MAP_FLAG_E3015,405,195,1
MAP_FLAG_E3020,406,196,1
MAP_FLAG_E3030,407,197,1
MAP_FLAG_E3031,408,198,1
MAP_FLAG_E3040,409,199,1
MAP_FLAG_E3100,410,19A,1
MAP_FLAG_E3110,411,19B,1
MAP_FLAG_E3120,412,19C,1
MAP_FLAG_E3130,413,19D,1
MAP_FLAG_E3231,414,19E,1
MAP_FLAG_E3230,415,19F,1
MAP_FLAG_E3200_Start,416,1A0,1
MAP_FLAG_E3200,417,1A1,1
MAP_FLAG_E3250,418,1A2,1
MAP_FLAG_E3260,419,1A3,1
MAP_FLAG_E3300,420,1A4,1
MAP_FLAG_E3310,421,1A5,1
MAP_FLAG_E3320,422,1A6,1
MAP_FLAG_E3330,423,1A7,1
MAP_FLAG_E3340,424,1A8,1
MAP_FLAG_E3350,425,1A9,1
MAP_FLAG_E3360,426,1AA,1
MAP_FLAG_E3365,427,1AB,1
MAP_FLAG_E3370,428,1AC,1
MAP_FLAG_E3390,429,1AD,1
MAP_FLAG_E3400,430,1AE,1
MAP_FLAG_E3410,431,1AF,1
MAP_FLAG_E3420,432,1B0,1
MAP_FLAG_E3425,433,1B1,1
MAP_FLAG_E3430,434,1B2,1
MAP_FLAG_E3480,435,1B3,1
MAP_FLAG_E3330_L,436,1B4,1
MAP_FLAG_E3330_C,437,1B5,1
MAP_FLAG_E2621,438,1B6,1
MAP_FLAG_E2681,439,1B7,1
MAP_FLAG_E2701,440,1B8,1
MAP_FLAG_E2711,441,1B9,1
MAP_FLAG_E2921,442,1BA,1
MAP_FLAG_E3101,443,1BB,1
MAP_FLAG_E3121,444,1BC,1
MAP_FLAG_E3141,445,1BD,1
MAP_FLAG_E3251,446,1BE,1
MAP_FLAG_E3331,447,1BF,1
MAP_FLAG_E3320_1,448,1C0,1
MAP_FLAG_E3320_2,449,1C1,1
MAP_FLAG_E3320_3,450,1C2,1
MAP_FLAG_E2018,451,1C3,1
MAP_FLAG_E2051,452,1C4,1
MAP_FLAG_E2164,453,1C5,1
MAP_FLAG_E2326,454,1C6,1
MAP_FLAG_E2430,455,1C7,1
MAP_FLAG_E2431,456,1C8,1
MAP_FLAG_E2432,457,1C9,1
MAP_FLAG_E2433,458,1CA,1
MAP_FLAG_E2434,459,1CB,1
MAP_FLAG_E2435,460,1CC,1
MAP_FLAG_E2430_End,461,1CD,1
MAP_FLAG_E2440,462,1CE,1
MAP_FLAG_E2445,463,1CF,1
MAP_FLAG_E2490,464,1D0,1
MAP_FLAG_E2510,465,1D1,1
MAP_FLAG_E2512,466,1D2,1
MAP_FLAG_E2514,467,1D3,1
MAP_FLAG_E2519,468,1D4,1
MAP_FLAG_E2530,469,1D5,1
MAP_FLAG_E2535,470,1D6,1
MAP_FLAG_E2603,471,1D7,1
MAP_FLAG_E2605,472,1D8,1
MAP_FLAG_E2623,473,1D9,1
MAP_FLAG_E2633,474,1DA,1
MAP_FLAG_E2635,475,1DB,1
MAP_FLAG_E2643,476,1DC,1
MAP_FLAG_E2645,477,1DD,1
MAP_FLAG_E2648,478,1DE,1
MAP_FLAG_E2688,479,1DF,1
MAP_FLAG_E2703,480,1E0,1
MAP_FLAG_E2705,481,1E1,1
MAP_FLAG_E2713,482,1E2,1
MAP_FLAG_E2717,483,1E3,1
MAP_FLAG_E2718,484,1E4,1
MAP_FLAG_E3352,485,1E5,1
MAP_FLAG_E3353,486,1E6,1
MAP_FLAG_E3354,487,1E7,1
MAP_FLAG_E3355,488,1E8,1
MAP_FLAG_E3380,489,1E9,1
MAP_FLAG_E3385,490,1EA,1
MAP_FLAG_E3415,491,1EB,1
MAP_FLAG_E3416,492,1EC,1
MAP_FLAG_E3417,493,1ED,1
MAP_FLAG_E3460,494,1EE,1
MAP_FLAG_E3470,495,1EF,1
MAP_FLAG_E3475,496,1F0,1
MAP_FLAG_E3371,497,1F1,1
MAP_FLAG_E3461,498,1F2,1
MAP_FLAG_E2626,499,1F3,1
MAP_FLAG_P_E0360_5,500,1F4,1
MAP_FLAG_E2166,501,1F5,1
MAP_FLAG_E2171,502,1F6,1
MAP_FLAG_E2312,503,1F7,1
MAP_FLAG_E2646,504,1F8,1
MAP_FLAG_E3321,505,1F9,1
eflag0506_D2Main3End,506,1FA,1
MAP_FLAG_E2647,507,1FB,1
MAP_FLAG_E2955,508,1FC,1
MAP_FLAG_E2980,509,1FD,1
eflag0510_D4GetKey,510,1FE,1
eflag0511_MegamiTaoJoin,511,1FF,1
eflag0512_MegamiYokoJoin,512,200,1
MAP_FLAG_018_CHANGE_CHARA,513,201,2
MAP_FLAG_NAMEENTRY_AOGAMI,514,202,2
MAP_FLAG_NAMEENTRY_SHOUNEN,515,203,2
MAP_FLAG_0001,516,204,2
MAP_FLAG_0002,517,205,2
MAP_FLAG_0003,518,206,2
MAP_FLAG_LMAP_CLOSE01,519,207,2
MAP_FLAG_LMAP_CLOSE02,520,208,2
MAP_FLAG_LMAP_CLOSE03,521,209,2
MAP_FLAG_LMAP_CLOSE04,522,20A,2
MAP_FLAG_LMAP_CLOSE05,523,20B,2
MAP_FLAG_LMAP_CLOSE06,524,20C,2
MAP_FLAG_LMAP_CLOSE07,525,20D,2
MAP_FLAG_M060_TEST_1,526,20E,2
MAP_FLAG_TokyoLmap_OpenTest,527,20F,2
MAP_FLAG_Mitama,528,210,2
MAP_FLAG_PieceLock,529,211,2
MAP_FLAG_TaoHeal,530,212,2
MAP_FLAG_MagatsuhiDevilLock,531,213,2
MAP_FLAG_0010,532,214,2
MAP_FLAG_0011,533,215,2
MAP_FLAG_0012,534,216,2
MAP_FLAG_0013,535,217,2
MAP_FLAG_0014,536,218,2
MAP_FLAG_0015,537,219,2
MAP_FLAG_0016,538,21A,2
MAP_FLAG_0017,539,21B,2
MAP_FLAG_0018,540,21C,2
MAP_FLAG_0019,541,21D,2
MAP_FLAG_0020,542,21E,2
MAP_FLAG_TwilightTokyoLmap,543,21F,2
MAP_FLAG_NAHOBINO_START,544,220,2
MAP_FLAG_0022,545,221,2
MAP_FLAG_0023,546,222,2
MAP_FLAG_0024,547,223,2
MAP_FLAG_0025,548,224,2
MAP_FLAG_NaviDev044_AGATION,549,225,2
MAP_FLAG_Estoma,550,226,2
MAP_FLAG_WEPON_TETUPAIPU,551,227,2
MAP_FLAG_NaviDevilMission,552,228,2
MAP_FLAG_NaviDev059_Pixie,553,229,2
MAP_FLAG_NaviDev114_Aitvaras,554,22A,2
MAP_FLAG_NaviDev057_Lantern,555,22B,2
MAP_FLAG_NaviDev273_Decarabia,556,22C,2
MAP_FLAG_NaviDev280_Yatagarasu,557,22D,2
MAP_FLAG_NaviDev333_Kahaku,558,22E,2
MAP_FLAG_NaviDev038_Amanozako,559,22F,2
MAP_FLAG_NaviDev128_CIRONNUP,560,230,2
MAP_FLAG_NaviDev289_MOSHOBOU,561,231,2
MAP_FLAG_NaviDev060_NAHOBIHO,562,232,2
MAP_FLAG_NaviDev355_ALICE,563,233,2
MAP_FLAG_NaviDev387_AMABIE,564,234,2
MAP_FLAG_NaviDev191_CYBELE,565,235,2
MAP_FLAG_NaviDev316_IPPONDATARA,566,236,2
MAP_FLAG_NaviDev144_BAGS,567,237,2
MAP_FLAG_NaviDev304_MERMAID,568,238,2
MAP_FLAG_NaviDev067_LILIM,569,239,2
MAP_FLAG_NaviDev214_SUKUNA,570,23A,2
MAP_FLAG_LAW,571,23B,2
MAP_FLAG_CHAOS,572,23C,2
MAP_FLAG_NEUTRAL,573,23D,2
MAP_FLAG_N_TRUE,574,23E,2
MAP_FLAG_0051,575,23F,2
MAP_FLAG_MimanFullDaath1,576,240,2
MAP_FLAG_MimanFullDaath2,577,241,2
MAP_FLAG_MimanFullDaath3,578,242,2
MAP_FLAG_MimanFullDaath4,579,243,2
MAP_FLAG_MimanFullDaath5,580,244,2
MAP_FLAG_0057,581,245,2
MAP_FLAG_0058,582,246,2
MAP_FLAG_Daath1_OneWay,583,247,2
MAP_FLAG_0060,584,248,2
MAP_FLAG_0061,585,249,2
MAP_FLAG_0062,586,24A,2
MAP_FLAG_0063,587,24B,2
MAP_FLAG_0064,588,24C,2
MAP_FLAG_0065,589,24D,2
MAP_FLAG_0066,590,24E,2
MAP_FLAG_0067,591,24F,2
MAP_FLAG_0068,592,250,2
MAP_FLAG_0069,593,251,2
MAP_FLAG_NaviPointTutorial,594,252,2
MAP_FLAG_NaviEvent_Amanozako1,595,253,2
MAP_FLAG_NaviEvent_Amanozako2,596,254,2
MAP_FLAG_NaviEvent_Lantern,597,255,2
MAP_FLAG_NaviEvent_Decarabia,598,256,2
MAP_FLAG_0075,599,257,2
MAP_FLAG_0076,600,258,2
MAP_FLAG_0077,601,259,2
MAP_FLAG_0078,602,25A,2
MAP_FLAG_0079,603,25B,2
MAP_FLAG_0080,604,25C,2
MAP_FLAG_0081,605,25D,2
MAP_FLAG_0082,606,25E,2
MAP_FLAG_0083,607,25F,2
MAP_FLAG_0084,608,260,2
MAP_FLAG_0085,609,261,2
MAP_FLAG_0086,610,262,2
MAP_FLAG_0087,611,263,2
MAP_FLAG_0088,612,264,2
MAP_FLAG_BGMChange_1,613,265,2
MAP_FLAG_BGMChange_2,614,266,2
MAP_FLAG_CarEventTest1,615,267,2
MAP_FLAG_CarEventTest2,616,268,2
MAP_FLAG_CarEventTest3,617,269,2
MAP_FLAG_0089,618,26A,2
MAP_FLAG_0090,619,26B,2
MAP_FLAG_RyuketsuOpen_Tamachi,620,26C,2
MAP_FLAG_RyuketsuOpen_Odaiba,621,26D,2
MAP_FLAG_RyuketsuOpen_Gizido,622,26E,2
MAP_FLAG_RyuketsuOpen_Labo,623,26F,2
MAP_FLAG_RyuketsuOpen_Konton,624,270,2
MAP_FLAG_RyuketsuClose_School,625,271,2
MAP_FLAG_RyuketsuOpen_Shiba,626,272,2
MAP_FLAG_RyuketsuOpen_Snake,627,273,2
MAP_FLAG_RyuketsuClose_Snake,628,274,2
MAP_FLAG_RyuketsuOpen_Throne,629,275,2
MAP_FLAG_RyuketsuOpen_Throne2,630,276,2
MAP_FLAG_0102,631,277,2
mflag0120_TargetTest,632,278,2
MAP_FLAG_0121_TargetTest2,633,279,2
MAP_FLAG_0103,634,27A,2
MAP_FLAG_0104,635,27B,2
MAP_FLAG_0105,636,27C,2
MAP_FLAG_0106,637,27D,2
MAP_FLAG_0107,638,27E,2
MAP_FLAG_0108,639,27F,2
MAP_FLAG_0109,640,280,2
sflag0001_no_inochigoi,641,281,3
sflag0002_no_exist_boy,642,282,3
sflag0003_no_exist_aogami,643,283,3
sflag0004_no_union,644,284,3
sflag0005_RyuketsuThird,645,285,3
sflag0006_Riberama,646,286,3
sflag0007_moonage,647,287,3
sflag0008_submission,648,288,3
sflag0009_camp,649,289,3
sflag0010_sysmenu,650,28A,3
sflag0011_MagatsuhiGaugeLock,651,28B,3
sflag0012_CampQuestLock,652,28C,3
sflag0013_nahobino,653,28D,3
sflag0014_btl_force_hit,654,28E,3
sflag0015_LoadingdevilLock,655,28F,3
sflag0016_TraportLock,656,290,3
sflag0017_time_stopped,657,291,3
sflag0018_FirstShop,658,292,3
sflag0019_NewGame,659,293,3
sflag0020_RyuketsuWarpLock,660,294,3
sflag0021_JakyoLock,661,295,3
sflag0022_RyuketsuSecond,662,296,3
sflag0023_DevilTalkTutorial,663,297,3
