,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Offset in data table (for modders),0x00 (0),0x04 (4),0x08 (8),0xC (12),0x10 (16),0x14 (20),0x18 (24),0x1C (28),0x20 (32),0x24 (36),0x25 (37),0x26 (38),0x27 (39),0x29 (41),0x2C (44),0x2D (45),0x2E (46),0x2F (47),0x30 (48),0x31 (49),0x32 (50),0x33 (51),0x35 (53),0x37 (55),0x38 (56),0x3C (60),0x40 (64),0x44 (68),0x48 (72),0x4C (76),0x50 (80),0x54 (84),0x5C (92),0x60 (96),0x64 (100),0x65 (101),0x66 (102),0x67 (103),0x68 (104),0x6C (108),0x70 (112),0x74 (116),0x78 (120),0x7C (124),0x80 (128),0x84 (132),0x88 (136),0x8C (140),0x90 (144),0x94 (148),0x98 (152),0x9C (156),0xA0 (160),0xA4 (164),0xA8 (168),0xBC (188),0xC0 (192),0xC4 (196),0xC8 (200),0xCC (204),0xD0 (208),0xD4 (212),0xD8 (216),0xDC (220),0xE0 (224),0xE8 (232),0xEC (236),0xF0 (240),0xF4 (244),0x110 (272),0x130 (304),0x134 (308),0x138 (312),0x13C (316),0x140 (320),0x144 (324),0x148 (328),0x14C (332),0x150 (336),0x154 (340),0x158 (344),0x15C (348),0x160 (352),0x164 (356),0x168 (360),0x16C (364),,,,Params right of here are only useful to modders,0xAC (172),0xB0 (176),0xB4 (180),0xB8 (184),0xE4 (228),0xF8 (248),0xFC (252),0x100 (256),0x104 (260),0x108 (264),0x10C (268),0x114 (276),0x118 (280),0x11C (284),0x120 (288),0x124 (292),0x128 (296),0x12C (300),Total Size
Odin,9,77,922,325,50,53,50,48,50,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,10633,379,18,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_RunesofWisdom (540),100,100,100,Repel (999),125,Null (0),Null (0),100,100,100,100,100,100,50,6,0,0,4,-6,0,0,0,0,1,0,0,0,9,280,274,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,10,95,1394,423,61,63,61,58,61,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,13723,569,23,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Mitra,11,65,674,267,43,45,43,41,43,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,8372,273,17,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_RighteousSentence_PassivePart (685),100,100,125,100,100,Null (0),50,100,100,100,100,100,100,100,0,0,-5,0,0,3,3,2,0,0,3,3,0,11,233,22,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Atavaka,12,54,501,219,36,38,36,36,36,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,5431,190,13,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_FocusedAssault (656),100,100,125,100,100,Null (0),Null (0),100,100,100,100,100,125,100,4,0,-5,0,0,2,2,0,0,0,0,0,0,12,99,41,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Horus,13,42,326,198,25,27,22,38,35,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,2901,121,10,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_EyeofHorus (543),100,50,100,50,125,Repel (999),125,100,100,100,100,100,100,100,0,0,0,0,0,3,-4,2,0,2,2,2,0,13,279,287,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Thoth,14,33,230,175,16,19,34,26,26,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,1548,82,9,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_Trickery (630),100,Null (0),100,100,100,100,125,100,100,100,100,125,100,100,0,0,0,0,0,2,-3,1,0,3,0,0,0,14,387,343,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Khonsu Ra,15,78,810,413,34,40,72,54,55,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,10784,390,15,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_EyeofRa (541),100,Null (0),125,50,50,Drain (1000),100,100,100,100,100,100,Null (0),100,3,7,-5,0,0,5,0,3,0,0,0,0,0,15,365,189,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Vishnu,16,87,1001,473,37,45,79,59,62,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,12149,480,17,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_TripuraSamhara (607),Null (0),125,100,100,100,Repel (999),Null (0),100,100,100,100,100,100,100,0,-5,0,0,0,4,6,0,0,0,3,3,0,16,243,188,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Baal,17,93,1334,411,60,62,60,57,59,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,13233,546,18,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_HammerofJudgment (679),100,50,125,Repel (999),50,Null (0),100,100,100,100,100,100,100,100,0,3,-5,5,2,3,0,0,4,0,-3,-3,0,17,52,178,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,18,1,42,69,3,4,6,5,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Demeter,19,76,771,400,32,40,69,53,55,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,10483,370,15,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_Thesmophoria (557),100,125,100,100,100,Null (0),Null (0),100,50,100,50,50,50,100,0,-5,0,0,3,1,0,0,0,3,4,4,0,19,332,188,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Anahita,20,29,200,159,14,17,30,24,24,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,1124,68,5,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_GraceUntoService (676),100,125,Drain (1000),125,100,Null (0),100,100,100,50,100,100,100,50,0,-2,4,-6,0,2,0,0,0,1,2,2,0,20,304,156,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Lakshmi,21,70,660,363,30,36,65,49,51,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,9643,315,14,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_Chanchala (612),100,100,100,125,50,Null (0),100,100,100,100,Null (0),100,100,100,-4,0,0,-3,3,3,0,0,0,3,3,3,0,21,191,104,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Norn,22,67,712,276,44,47,44,42,44,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,8955,290,13,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_PlanckofNorn (544),100,100,100,125,100,50,Null (0),100,100,100,100,100,50,100,0,0,0,-4,0,1,0,0,0,3,4,4,0,22,259,260,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Idun,23,42,309,215,19,24,41,31,32,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,2901,121,8,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_DemonicMediation (533),100,100,100,125,50,Null (0),100,100,100,100,50,100,100,100,0,0,0,0,2,2,-4,0,0,2,4,4,0,23,238,19,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Sarasvati,24,47,356,239,21,26,45,34,36,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,3858,147,9,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_VinaRaga (579),100,125,Null (0),100,100,100,125,100,100,50,Null (0),100,100,100,0,-4,3,0,0,0,0,0,2,2,0,0,0,24,213,195,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Ishtar,25,62,531,317,27,33,58,44,46,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,7522,249,12,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_CapriciousGoddess (667),100,100,100,Null (0),125,Null (0),125,100,100,100,50,100,100,100,0,0,0,2,0,3,-3,0,0,2,2,2,0,25,67,29,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Scathach,26,55,516,223,37,38,37,36,37,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,5676,198,14,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_WarriorTrainer (572),100,100,100,125,Null (0),50,100,100,100,100,100,100,50,100,1,0,0,-5,3,0,0,0,2,0,2,2,0,26,192,64,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Parvati,27,35,246,184,17,20,35,27,28,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,1807,90,7,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_LightGestalt (651),100,125,50,100,100,50,100,100,100,Null (0),100,100,100,100,0,-3,0,0,0,2,0,0,0,3,4,4,0,27,194,189,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Ame-no-Uzume,28,22,150,133,12,14,24,18,19,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,575,46,4,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_CuriousDance (539),100,100,100,Null (0),125,100,100,100,100,100,100,100,100,100,-3,0,0,2,-3,2,0,0,0,2,1,1,0,28,213,194,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Fortuna,29,15,108,109,9,10,19,14,15,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,217,33,5,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_ForceGestalt (650),100,100,100,125,Null (0),100,125,100,100,100,100,100,100,100,-1,0,0,-3,3,1,-3,0,0,1,2,2,3,29,43,305,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Maria,30,83,913,445,36,43,76,57,59,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,11541,438,16,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_ImpenetrablePurity (691),100,100,100,125,Drain (1000),Null (0),50,100,100,100,100,Null (0),100,100,-3,0,0,-5,4,4,-5,0,0,2,4,4,0,30,127,260,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Artemis,31,37,306,154,26,28,26,25,26,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,2090,98,7,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_ImpenetrablePurity (691),100,125,Null (0),Null (0),100,50,50,100,100,100,100,100,100,100,5,-4,3,3,0,0,0,0,1,2,0,0,0,31,270,387,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Konohana Sakuya,32,50,386,253,23,27,48,36,38,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,4500,164,10,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_OathofPlenteousness (708),100,Repel (999),100,125,Null (0),100,100,100,100,50,50,100,50,100,-3,4,0,-3,2,0,0,0,0,3,4,4,0,32,243,27,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,33,1,53,50,6,5,3,4,4,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Hanuman,34,46,583,169,44,36,22,29,28,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,3107,142,9,55,0,0,10,10,0,100,1 (Life Stone),5,,14 (Muscle Drink),5,,334 (Hanuman's Essence),3,,Skill_PurpleSmoke (176),Skill_WindDracostrike (181),,,,,,,Skill_Forager (532),100,100,100,125,Repel (999),100,100,100,100,100,100,100,100,125,3,0,0,-5,2,0,0,0,0,1,0,0,0,34,140,297,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Fionn mac Cumhaill,35,71,792,295,46,49,46,45,47,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,9736,324,14,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_HealingHand (665),100,Null (0),100,125,100,Null (0),100,100,100,100,100,Null (0),Null (0),100,5,4,3,-6,0,0,0,0,0,0,0,0,0,35,223,36,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Cu Chulainn,36,52,477,211,35,37,35,34,35,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,4955,177,10,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_SurrogateGuardHound (558),50,100,100,125,Null (0),100,100,100,100,100,100,100,50,100,4,0,0,-2,4,0,0,0,0,2,0,0,0,36,35,9,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Kurama Tengu,37,39,297,186,28,25,21,36,31,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,2397,107,7,55,0,0,10,10,0,100,1 (Life Stone),5,,26 (Force Gem),10,,337 (Kurama Tengu's Essence),3,,Skill_AcrobatKick (258),Skill_WindDracostrike (181),,,,,,,Skill_ForceGestalt (650),100,100,100,125,Null (0),100,100,100,100,100,125,100,50,100,1,0,0,-5,4,2,0,0,0,0,0,0,0,37,42,319,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Amanozako,38,76,771,400,32,40,69,53,55,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,10483,370,15,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_HeavenlyReversal (548),100,125,125,Repel (999),Null (0),50,Null (0),100,100,100,100,100,100,100,0,-4,-4,4,2,0,0,3,0,0,2,2,0,38,42,114,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Jack Frost,39,1,42,69,3,4,6,5,5,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,24,10,1,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Kresnik,40,60,639,220,56,45,28,41,29,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,6973,233,12,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_RighteousCross (625),50,100,100,100,125,Null (0),100,100,100,100,100,100,100,100,4,0,0,0,-4,3,-2,0,0,0,0,0,0,40,41,35,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Anansi,41,49,376,249,22,27,47,30,43,0,0,0,0,0,0,0,0,1,1,0,1,1,98,5,100,100,0,0,4281,159,9,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_WisdomUnleashed (638),100,125,Null (0),100,100,100,50,100,100,100,100,100,100,100,0,-4,2,0,0,0,2,0,1,0,0,0,0,41,225,257,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Koppa Tengu,42,24,213,129,18,16,13,27,20,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,713,51,4,55,0,0,10,10,0,100,1 (Life Stone),6,,20 (Force Shard),10,,339 (Koppa Tengu's Essence),3,,Skill_Zanma (48),Skill_Mazan (54),,,,,,,Skill_GustingMelody (594),100,100,100,125,50,100,100,100,100,100,100,50,100,100,0,0,0,-3,3,0,0,0,0,1,0,0,0,42,324,56,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Apsaras,43,16,114,113,9,11,19,15,16,0,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,70,0,0,257,34,3,55,0,0,10,10,0,100,,,,,,,,,,,,,,,,,,Skill_IceGestalt (648),100,125,50,100,100,100,100,100,100,125,Null (0),50,100,100,0,-3,2,0,0,0,0,0,0,1,1,1,3,43,24,315,FALSE,FALSE,TRUE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Agathion,44,10,80,93,7,9,14,11,11,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,70,0,0,87,24,2,55,0,0,10,10,0,100,1 (Life Stone),8,,19 (Elec Shard),10,,341 (Agathion's Essence),3,,Skill_Zio (31),,,,,,,,Skill_ThunderousMelody (593),100,100,125,Null (0),100,100,125,100,100,100,100,100,100,100,0,0,-4,2,0,0,0,0,0,2,0,0,4,44,344,327,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Mandrake,45,6,66,75,6,7,9,9,10,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,70,0,0,42,18,1,55,0,0,10,10,0,100,1 (Life Stone),8,,19 (Elec Shard),5,,342 (Mandrake's Essence),3,,Skill_Zio (31),,,,,,,,Skill_WardOffEvil (610),100,125,100,50,100,100,100,100,100,100,100,100,100,125,0,-3,0,1,0,0,0,0,3,0,1,1,4,45,344,331,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
Dis,46,31,453,168,30,30,26,23,26,1,0,1,0,1,0,0,0,1,1,0,1,1,98,5,100,100,0,0,1312,74,6,55,0,0,10,10,0,100,1 (Life Stone),10,,16 (Soma Drop),3,,565 (Dis's Essence),3,,Skill_Diarama2 (104),Skill_ElecBlock (366),Skill_IceBlock (365),,,,,,Skill_PlanckofNorn (544),125,50,50,50,50,100,100,100,100,100,100,100,Null (0),100,-4,0,0,0,0,0,0,0,0,2,2,2,0,46,14,174,FALSE,FALSE,FALSE,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
